WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
110,145,0,52958,28.085,24.251,62.01550388,1.8794525
110,145,0,52936,28.819,23.768,62.01550388,1.84202
110,145,0,52747,29.121,23.669,62.01550388,1.8343475
110,144,-1,52376,28.957,23.985,61.24031008,1.8588375
110,144,0,51951,28.779,24.649,61.24031008,1.9102975
110,144,0,51410,28.571,26.053,61.24031008,2.0191075
110,144,0,50992,28.416,26.549,61.24031008,2.0575475
110,144,0,50811,28.361,25.283,61.24031008,1.9594325
110,144,0,50693,28.21,24.081,61.24031008,1.8662775
110,145,1,50696,27.868,23.002,62.01550388,1.782655
110,145,0,50710,27.574,22.003,62.01550388,1.7052325
110,145,0,50790,27.529,21.421,62.01550388,1.6601275
110,145,0,50870,27.483,20.839,62.01550388,1.6150225
110,145,0,50499,27.398,21.894,62.01550388,1.696785
110,145,0,50015,27.304,23.357,62.01550388,1.8101675
110,145,0,49944,27.31,24.073,62.01550388,1.8656575
110,145,0,50147,27.384,24.291,62.01550388,1.8825525
110,144,-1,50355,27.477,24.51,61.24031008,1.899525
110,144,0,50581,27.655,24.74,61.24031008,1.91735
110,144,0,50807,27.834,24.969,61.24031008,1.9350975
110,144,0,51724,28.269,24.554,61.24031008,1.902935
110,145,1,52670,28.715,24.113,62.01550388,1.8687575
110,145,0,53271,29.029,25.342,62.01550388,1.964005
180,146,1,53825,29.325,26.799,62.79069767,2.0769225
180,147,1,54165,29.83,25.53,63.56589147,1.978575
180,147,0,54496,30.344,24.147,63.56589147,1.8713925
180,147,0,55023,30.852,24.942,63.56589147,1.933005
180,148,1,55538,31.339,25.702,64.34108527,1.991905
180,148,0,55913,31.646,25.75,64.34108527,1.995625
180,148,0,56245,31.936,25.741,64.34108527,1.9949275
180,149,1,56385,32.152,25.476,65.11627907,1.97439
180,149,0,56826,32.444,25.623,65.11627907,1.9857825
180,150,1,57973,32.912,26.733,65.89147287,2.0718075
180,150,0,58637,33.165,26.871,65.89147287,2.0825025
180,151,1,58858,33.219,26.113,66.66666667,2.0237575
180,151,0,59033,33.273,26.309,66.66666667,2.0389475
180,152,1,59188,33.327,26.916,67.44186047,2.08599
180,152,0,59383,33.33,27.826,67.44186047,2.156515
180,153,1,59433,33.284,28.103,68.21705426,2.1779825
180,154,1,59104,33.118,26.703,68.99224806,2.0694825
180,154,0,58953,32.979,25.792,68.99224806,1.99888
180,155,1,59029,32.874,25.502,69.76744186,1.976405
180,156,1,58743,32.628,25.425,70.54263566,1.9704375
180,156,0,58175,32.272,25.516,70.54263566,1.97749
180,157,1,57455,31.892,25.521,71.31782946,1.9778775
180,158,1,56664,31.499,25.487,72.09302326,1.9752425
180,158,0,56425,31.434,25.72,72.09302326,1.9933
